date,speaker,website,link,story_id,story,story_long,position
01.02,Георгій Логвинський,24 канал,http://24tv.ua/ukrayintsya_pereobrali_vitseprezidentom_naybilshoyi_fraktsiyi_u_parye_n653838,6,Українця переобрали віце-президентом найбільшої фракції у ПАРЄ,Українця переобрали віце-президентом найбільшої фракції у ПАРЄ,1
01.03,Леонід Ємець,24 канал,http://24tv.ua/rada_maye_negayno_vipraviti_pomilku_cherez_yaku_ne_mozhna_pokarati_suddiv_yevromaydanivtsiv__yemets_n663327,19,"Парламент має уможливити покарання суддів, що судили активістів Євромайдану","Парламент має негайно виправити помилку, через яку неможливо покарати суддів, що судили активістів Євромайдану",1
01.06,Тарас Кремінь,24 канал,http://24tv.ua/dlya_zberezhennya_dorig_treba_zvazhuvati_vantazhivki_a_ne_lishe_obmezhuvati_godini_yih_ruhu__kremin_n691592,100,"Для реального збереження доріг треба зважувати вантажівки, а не лише обмежувати години їх руху","Для реального збереження доріг треба зважувати вантажівки, а не лише обмежувати години їх руху",1
01.07,Арсеній Яценюк,24 канал,http://24tv.ua/vi_ne_mayete_prava_skasovuvati_sanktsiyi_proti_rosiyi__yatsenyuk_lideram_ssha_i_yes_n700975,123,"Ви не маєте права скасовувати санкції проти Росії, доки Україна не поверне контроль над Донецьком, Луганськом і Кримом","Ви не маєте права скасовувати санкції проти Росії, доки Україна не поверне контроль над Донецьком, Луганськом і Кримом",1
01.07,Арсеній Яценюк,24 канал,http://24tv.ua/v_desyatirichniy_perspektivi_ukrayina_ne_kupuvatime_gaz_ni_v_rosiyi_ni_v_yevropi__yatsenyuk_n701042,124,"Очікую, що в десятирічній перспективі Україна не купуватиме газ ні в Росії, ні в Європи","Очікую, що в десятирічній перспективі Україна не купуватиме газ ні в Росії, ні в Європи",1
02.02,Максим Бурбак,24 канал,http://24tv.ua/narodniy_front_do_lutsenka_mi_vistupayemo_za_priynyattya_novoyi_konstitutsiyi_na_referendumi_n654356,8,«НФ» підтвердив наміри прийняти нову Конституцію на референдумі,«Народний фронт» підтвердив наміри прийняти нову Конституцію на референдумі,1
02.09,Микола Княжицький,24 канал,http://24tv.ua/knyazhitskiy_putin_shukaye_soyuznikiv_dlya_rozkolu_ukrayini_n721922,166,Путін шукає союзників для розколу України,Путін шукає союзників для розколу України,1
03.07,Максим Бурбак,24 канал,http://24tv.ua/burbak_zaklikav_griniva_ne_zaymatisya_diskreditatsiyeyu_partneriv_po_koalitsiyi_n701604,126,Бурбак закликав Гриніва не займатися дискредитацією партнерів по коаліції,Бурбак закликав Гриніва не займатися дискредитацією партнерів по коаліції,1
03.08,Андрій Тетерук,24 канал,http://24tv.ua/batkivshhina_maye_abo_vidmezhuvatisya_vid_putinskogo_lobista_savchenko__teteruk_n711686,151,"“Батьківщина” має або відмежуватися від путінського лобіста Савченко, або згуртуватися навколо неї","“Батьківщина” має або відмежуватися від путінського лобіста Савченко, або згуртуватися навколо неї",1
03.09,Данило Лубківський,24 канал,http://24tv.ua/rosiya_vtilyuye_praktiku_diversiy_u_mizhnarodnih_vidnosinah_ukrayina_maye_buti_gotova__lubkivskiy_n722249,167,"Росія втілює практику диверсій у міжнародних відносинах, і Україна має бути готова до будь-яких непередбачуваних ситуацій","Росія втілює практику диверсій у міжнародних відносинах, і Україна має бути готова до будь-яких непередбачуваних ситуацій",1
